,Trade Name,Generic/Proper Name(s),Active Ingredient(s),Cardiotoxicity,Label Section ,DICT _ Concern,Keywords,DIC Severity Level,split
670,Tradjenta,LINAGLIPTIN,LINAGLIPTIN,Heart Damage,wp,most,heart failure,severe,train
671,ZEPOSIA; ZEPOSIA 7-Day Starter Pack; ZEPOSIA Starter Kit,OZANIMOD HYDROCHLORIDE,OZANIMOD HYDROCHLORIDE,Mixed,wp,less,Atrioventricular Conduction Delays/Increased Blood Pressure,mild,test
672,Cystadane,BETAINE,BETAINE,,no,no,,,train
673,RIDAURA,AURANOFIN,AURANOFIN,,no,no,,,test
674,TAGRISSO,OSIMERTINIB,OSIMERTINIB,Mixed,wp,most,cardiomyopathy/QTc Interval Prolongation,severe,test
675,EXKIVITY,MOBOCERTINIB,Mobocertinib,Mixed,bw,most,life-threatening heart rate-corrected QT (QTc) prolongation/cardiomyopathy,severe,test
676,Darvon-N,PROPOXYPHENE NAPSYLATE,propoxyphene napsylate,Heart Damage,wp,less,hypotension,mild,train
677,ADDYI,FLIBANSERIN,Flibanserin,Heart Damage,wp,less,hypotension,mild,test
678,Fetzima,LEVOMILNACIPRAN HYDROCHLORIDE,LEVOMILNACIPRAN HYDROCHLORIDE; levomilnacipran hydrochloride,Mixed,wp,less,Increased heart rate/Elevated Blood Pressure,mild,test
679,Seysara,SARECYCLINE HYDROCHLORIDE,SARECYCLINE HYDROCHLORIDE,,sp,ambiguous,Intracranial hypertension,,train
680,Marplan,ISOCARBOXAZID,ISOCARBOXAZID,Heart Damage,wp,less,Hypotension,mild,test
681,PREZISTA,DARUNAVIR,darunavir ethanolate,,CLINICAL PHARMACOLOGY,no, not affect the QT/QTc interval,,test
682,SAVAYSA,EDOXABAN TOSYLATE,EDOXABAN TOSYLATE,,CLINICAL PHARMACOLOGY,no, not affect the QT/QTc interval,,train
683,XPOVIO,SELINEXOR,selinexor,Heart Damage,ar,less,cardiac failure,severe,train
684,Fexinidazole,FEXINIDAZOLE,FEXINIDAZOLE,Arrhythmia,wp,most,prolong the QT interval,severe,train
685,Pretomanid,PRETOMANID,Pretomanid,,sp,ambiguous,QT prolongation  with the combination,,train
686,Rukobia,FOSTEMSAVIR TROMETHAMINE,FOSTEMSAVIR TROMETHAMINE,Arrhythmia,ar,less,QTc Prolongation with Higher than Recommended Dosages,moderate,train
687,XURIDEN,URIDINE TRIACETATE,uridine triacetate,,no,no,,,test
688,BYLVAY,ODEVIXIBAT,odevixibat,,no,no,,,test
689,LUPKYNIS,VOCLOSPORIN,VOCLOSPORIN,Mixed,wp,most,prolongs the QTc interval/Hypertension,moderate,test
690,DOJOLVI,TRIHEPTANOIN,TRIHEPTANOIN,,no,no,,,test
691,Cesamet,NABILONE,NABILONE,Mixed,wp,less,tachycardia/hypotension,mild,test
692,Rexulti,BREXPIPRAZOLE,brexpiprazole,Heart Damage,wp,less,Hypotension,mild,test
693,NOURIANZ,ISTRADEFYLLINE,istradefylline,,CLINICAL PHARMACOLOGY,no, not affect the QT/QTc interval,,test
694,FINTEPLA,FENFLURAMINE,FENFLURAMINE,Heart Damage,bw,most,valvular heart disease,severe,train
695,Recorlev,LEVOKETOCONAZOLE,LEVOKETOCONAZOLE,Arrhythmia,bw,most,life-threatening ventricular dysrhythmias ,severe,train
696,LUMAKRAS,SOTORASIB,SOTORASIB,Mixed,ar,less,cardiac arrest /cardiac failure,severe,test
697,Nardil,PHENELZINE SULFATE,PHENELZINE SULFATE,Heart Damage,wp,less,changes in blood pressure,mild,test
698,Arakoda,TAFENOQUINE,TAFENOQUINE,,CLINICAL PHARMACOLOGY,ambiguous, mean increase in the QTcF interval less than 20 msec.,,train
699,ERIVEDGE,VISMODEGIB,VISMODEGIB,,CLINICAL PHARMACOLOGY,no, not prolong QT interval,,test
700,ENTERO Vu 24%,BARIUM SULFATE,BARIUM SULFATE,,sp,ambiguous,Hypersensitivity Reactions:hypotension ,mild,test
701,TUKYSA,TUCATINIB,Tucatinib,,CLINICAL PHARMACOLOGY,ambiguous,"No large mean increase in QTc (i.e., > 20 ms)",,train
702,EDURANT,RILPIVIRINE HYDROCHLORIDE,rilpivirine hydrochloride,,CLINICAL PHARMACOLOGY,no,QTcF interval below the threshold of clinical concern,,test
703,Cotempla XR-ODT,METHYLPHENIDATE,METHYLPHENIDATE,Mixed,wp,most,Sudden death/Heart rate increases,severe,test
704,ZELBORAF,VEMURAFENIB,VEMURAFENIB,Arrhythmia,wp,most,QT prolongation,moderate,train
705,Kalydeco,IVACAFTOR,ivacaftor,,no,no,,,test
706,Imbruvica,IBRUTINIB,IBRUTINIB,Mixed,wp,most,Cardiac Failure/Cardiac Arrhythmias,severe,train
707,Gavreto,PRALSETINIB,PRALSETINIB,Heart Damage,wp,less,Hypertension,mild,test
708,Tivicay; Tivicay PD,DOLUTEGRAVIR SODIUM,DOLUTEGRAVIR SODIUM,,CLINICAL PHARMACOLOGY,no, not prolong QT interval,,train
709,VELTASSA,PATIROMER,patiromer,,no,no,,,train
710,Nexletol,BEMPEDOIC ACID,Bempedoic Acid,Arrhythmia,ar,less,Atrial Fibrillation,mild,train
711,Aubagio,TERIFLUNOMIDE,TERIFLUNOMIDE,Heart Damage,wp,less,Increased Blood Pressure,mild,train
712,Epidiolex,CANNABIDIOL,CANNABIDIOL,,no,no,,,train
713,LEUKERAN,CHLORAMBUCIL,CHLORAMBUCIL,,no,no,,,test
714,MEKTOVI,BINIMETINIB,BINIMETINIB,Heart Damage,wp,most,Cardiomyopathy,severe,test
715,Zorvolex,DICLOFENAC,DICLOFENAC,Heart Damage,bw,most,myocardial infarction ,severe,test
716,NURTEC ODT,RIMEGEPANT SULFATE,RIMEGEPANT SULFATE,,CLINICAL PHARMACOLOGY,no,not prolong the QTc interval,,test
717,Conjupri,LEVAMLODIPINE,LEVAMLODIPINE MALEATE,Heart Damage,wp,most, myocardial infarction,severe,train
718,Codeine sulfate,CODEINE SULFATE,CODEINE SULFATE,Heart Damage,wp,less,hypotension ,mild,train
719,Nalfon,FENOPROFEN CALCIUM,FENOPROFEN CALCIUM,Heart Damage,bw,most,myocardial infarction ,,train
720,INVOKANA,CANAGLIFLOZIN,canagliflozin,,CLINICAL PHARMACOLOGY,no,No meaningful changes in QTc interval ,,train
721,Endari,GLUTAMINE,Glutamine,,no,no,,,train
722,BELVIQ XR Extended Release Extended Release,LORCASERIN HYDROCHLORIDE,LORCASERIN HYDROCHLORIDE ANHYDROUS,Mixed,wp,most,Regurgitant cardiac valvular disease/Heart Rate Decreas es,severe,test
723,Daliresp,ROFLUMILAST,roflumilast,Arrhythmia,ar,less,atrial fibrillation,mild,test
724,DAYVIGO,LEMBOREXANT,LEMBOREXANT,,CLINICAL PHARMACOLOGY,no,not prolong the QTcF interval,,test
725,Celontin,METHSUXIMIDE,METHSUXIMIDE,,no,no,,,train
726,Levocarnitine,LEVOCARNITINE,LEVOCARNITINE,,no,no,,,train
727,PIQRAY,ALPELISIB,ALPELISIB,,sp,ambiguous,hypersensitivity reactions:tachycardia,mild,test
728,BELSOMRA,SUVOREXANT,suvorexant,Arrhythmia,ar,less,tachycardia,mild,train
729,Ocaliva,OBETICHOLIC ACID,Obeticholic Acid,,CLINICAL PHARMACOLOGY,no,not prolong the QTcF interval,,train
730,Talzenna,TALAZOPARIB,TALAZOPARIB TOSYLATE,,CLINICAL PHARMACOLOGY,ambiguous,"no large QTc prolongation (i.e., >20 ms)",,train
731,Karbinal ER,CARBINOXAMINE MALEATE,CARBINOXAMINE MALEATE,Mixed,ar,less,tachycardia/Hypotension,mild,test
732,E.E.S; E.E.S 400,ERYTHROMYCIN ETHYLSUCCINATE,Erythromycin Ethylsuccinate,Arrhythmia,wp,most,torsades de pointes,moderate,test
733,Fluphenazine Hydrochloride,FLUPHENAZINE HYDROCHLORIDE,FLUPHENAZINE HYDROCHLORIDE,,sp,ambiguous,cardiovascular death in  elderly patients,severe,train
734,Bupropion Hydrochloride (XL),BUPROPION HYDROCHLORIDE,BUPROPION HYDROCHLORIDE,Heart Damage,wp,less,hypertension,mild,test
735,Desvenlafaxine Succinate,DESVENLAFAXINE SUCCINATE,DESVENLAFAXINE SUCCINATE,Heart Damage,wp,less,Elevated Blood Pressure,mild,test
736,Tetrabenazine,TETRABENAZINE,TETRABENAZINE,Mixed,wp,most,QTc Prolongation/Hypotension,moderate,test
737,Naltrexone Hydrochloride,NALTREXONE HYDROCHLORIDE,NALTREXONE HYDROCHLORIDE,Mixed,ar,less,tachycardia/ increased blood pressure,mild,train
738,Cefuroxime axetil,CEFUROXIME AXETIL,CEFUROXIME AXETIL,Mixed,ar,less,chest pain/tachycardia ,moderate,train
739,Pyrimethamine,PYRIMETHAMINE,PYRIMETHAMINE,Arrhythmia,ar,less,disorders of cardiac rhythm,mild,test
740,Alprazolam,ALPRAZOLAM,ALPRAZOLAM,Mixed,ar,less ,hypotension/Tachycardia,mild,test
741,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM PROPYLENE GLYCOL SOLVATE,,no,no,,,train
742,Isradipine,ISRADIPINE,ISRADIPINE,Heart Damage,wp,less,symptomatic hypotension,mild,test
743,Atovaquone,ATOVAQUONE,ATOVAQUONE,,no,no,,,train
744,Calcium Acetate,CALCIUM ACETATE,CALCIUM ACETATE,,no,no,,,train
745,Indomethacin,INDOMETHACIN,INDOMETHACIN,Heart Damage,bw,most,myocardial infarction,severe,test
746,Sucralfate,SUCRALFATE,SUCRALFATE,,no,no,,,train
747,Bosentan,BOSENTAN,BOSENTAN ANHYDROUS,Mixed,ar,less,Palpitations/Hypotension,mild,test
748,Desmopressin Acetate,DESMOPRESSIN ACETATE,DESMOPRESSIN ACETATE,,sp,ambiguous,possible rise in blood pressure in patients with coronary artery insufficiency,,test
749,Glipizide,GLIPIZIDE,GLIPIZIDE,,sp,ambiguous,cardiovascular mortality with Sulfonylureas,severe,test
750,COLESTIPOL HYDROCHLORIDE,COLESTIPOL HYDROCHLORIDE,COLESTIPOL HYDROCHLORIDE,Mixed,ar,less,angina/tachycardia ,moderate,train
751,Felbamate,FELBAMATE,FELBAMATE,Mixed,ar,less,tachycardia/cardiac failure,severe,test
752,HYDROXYUREA,HYDROXYUREA,HYDROXYUREA,,no,no,,,test
753,Loxapine,LOXAPINE,LOXAPINE SUCCINATE,Mixed,ar,less,Tachycardia/hypotension,severe,test
754,METHYLPREDNISOLONE,METHYLPREDNISOLONE,METHYLPREDNISOLONE,,sp,ambiguous,Hypertension(Fluid and Electrolyte Disturbances),mild,test
755,PIOGLITAZONE,PIOGLITAZONE,PIOGLITAZONE,Heart Damage,bw,most,CONGESTIVE HEART FAILURE,severe,train
756,acyclovir,ACYCLOVIR,ACYCLOVIR,,no,no,,,test
757,Morphine Sulfate Extended Release,MORPHINE SULFATE,MORPHINE SULFATE,Heart Damage,wp,less,hypotension,mild,train
758,Paroxetine,PAROXETINE,PAROXETINE HYDROCHLORIDE HEMIHYDRATE,Mixed,ar,less,tachycardia/ hypertension,mild,train
759,Prazosin Hydrochloride,PRAZOSIN HYDROCHLORIDE,PRAZOSIN HYDROCHLORIDE,Mixed,wp,less,syncope /tachycardia,mild,train
760,ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,Mixed,ar,less,tachycardia/angina pectoris,mild,train
761,Mycophenolic Acid,MYCOPHENOLIC ACID,MYCOPHENOLATE SODIUM,Mixed,ar,less,tachycardia/ Hypertension,mild,train
762,Triamterene,TRIAMTERENE CAPSULES,TRIAMTERENE,,no,no,,,test
763,RIZATRIPTAN BENZOATE,RIZATRIPTAN BENZOATE,RIZATRIPTAN BENZOATE,Mixed,wp,most,acute myocardial infarction/Arrhythmi,severe,test
764,Tacrolimus,TACROLIMUS; TACROLIMUS CAPSULES,TACROLIMUS,Mixed,wp,most,prolong the QT/QTc interval /Myocardial Hypertrophy ,moderate,test
765,ibuprofen,IBUPROFEN,IBUPROFEN,Heart Damage,bw,most,myocardial infarction,severe,test
766,Hydrocortisone,HYDROCORTISONE,HYDROCORTISONE,,sp,ambiguous,Hypertension(Fluid and Electrolyte Disturbances),mild,train
767,Rufinamide,RUFINAMIDE,RUFINAMIDE,Arrhythmia,wp,less,QT Shortening,mild,test
768,Cimetidine,CIMETIDINE HYDROCHLORIDE,CIMETIDINE HYDROCHLORIDE,Arrhythmia,ar,less,tachycardia,mild,train
769,Clonidine hydrochloride,CLONIDINE HYDROCHLORIDE,CLONIDINE HYDROCHLORIDE,Arrhythmia,wp,less,atrioventricular (AV) block,mild,test
770,methazolamide,METHAZOLAMIDE,METHAZOLAMIDE,,no,no,,,test
771,Metoprolol Succinate,METOPROLOL SUCCINATE,METOPROLOL TARTRATE,Heart Damage,bw,most,myocardial infarction,severe,test
772,Sirolimus,SIROLIMUS,SIROLIMUS,Mixed,ar,less,Pericardial effusion/tachycardia,severe,train
773,Torsemide,TORSEMIDE,TORSEMIDE,Mixed,ar,less,atrial fibrillation/hypotension,mild,train
774,Oxcarbazepine,OXCARBAZEPINE,OXCARBAZEPINE,Mixed,ar,less,cardiac failure/tachycardia,severe,test
775,"Ergocalciferol Capsules,","ERGOCALCIFEROL CAPSULES,",ERGOCALCIFEROL,,sp,ambiguous,hypertension(Impairment of renal function),mild,train
776,Clindamycin Palmitate Hydrochloride,CLINDAMYCIN PALMITATE HYDROCHLORIDE,CLINDAMYCIN PALMITATE HYDROCHLORIDE,,no,no,,,train
777,meloxicam,MELOXICAM,MELOXICAM,Heart Damage,bw,most,myocardial infarction,severe,test
778,PredniSONE,PREDNISONE,PREDNISONE,,sp,ambiguous,Hypertension(Fluid and Electrolyte Disturbances),,test
779,METHITEST,METHYLTESTOSTERONE,METHYLTESTOSTERONE,Heart Damage,ar,less,Myocardial infarction,severe,test
780,Glycopyrrolate,GLYCOPYRROLATE,GLYCOPYRROLATE,Arrhythmia,ar,less,tachycardia,mild,test
781,deferasirox,DEFERASIROX,DEFERASIROX,,CLINICAL PHARMACOLOGY,no, not prolong QT interval,,test
782,Isoniazid,ISONIAZID,ISONIAZID,,no,no,,,train
783,FLUDROCORTISONE ACETATE,FLUDROCORTISONE ACETATE,FLUDROCORTISONE ACETATE,Heart Damage,ar,less,cardiac enlargemen/congestive heart failure,severe,train
784,VERAPAMIL HYDROCHLORIDE,VERAPAMIL HYDROCHLORIDE,VERAPAMIL HYDROCHLORIDE,Mixed,wp,most,Heart failure/Atrioventricular block,severe,test
785,Zileuton,ZILEUTON,ZILEUTON,,no,no,,,train
786,Propantheline Bromide,PROPANTHELINE BROMIDE,PROPANTHELINE BROMIDE,Arrhythmia,ar,less,tachycardia,mild,test
787,Sertraline,SERTRALINE,SERTRALINE HYDROCHLORIDE,Arrhythmia,wp,most,"QTc prolongation and Torsade de
Pointes (TdP)",moderate,test
788,Bisoprolol Fumarate,BISOPROLOL FUMARATE,BISOPROLOL FUMARATE,Heart Damage,wp,most, cardiac failure,severe,train
789,Vardenafil Hydrochloride,VARDENAFIL HYDROCHLORIDE,VARDENAFIL,Arrhythmia,wp,most,Congenital or Acquired QT Prolongation,moderate,test
790,Aminocaproic acid,AMINOCAPROIC ACID,AMINOCAPROIC ACID,Heart Damage,wp,less,cardiac and hepatic lesions ,mild,train
791,Telmisartan,TELMISARTAN,TELMISARTAN,Heart Damage,wp,less,hypotension,mild,test
792,LAMOTRIGINE,LAMOTRIGINE,LAMOTRIGINE,Mixed,ar,less, hypertension/palpitations,mild,train
793,Fenofibrate,FENOFIBRATE,FENOFIBRATE,,no,no,no effect on coronary heart disease,,test
794,montelukast sodium,MONTELUKAST SODIUM,MONTELUKAST SODIUM,Arrhythmia,ar,less,palpitations,mild,train
795,Metolazone,METOLAZONE,METOLAZONE,Mixed,ar,less,palpitations/Chest pain,mild,train
796,Disulfiram,DISULFIRAM,DISULFIRAM,,no,no,,,test
797,Megestrol Acetate,MEGESTROL ACETATE,MEGESTROL ACETATE,Mixed,ar,less,cardiomyopathy/ palpitation,severe,test
798,METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,Heart Damage,bw,most,myocardial infarction,severe,train
799,acarbose,ACARBOSE,ACARBOSE,,no,no,,,test
800,Clindamycin Hydrochloride,CLINDAMYCIN HYDROCHLORIDE,CLINDAMYCIN HYDROCHLORIDE,,no,no,,,train
801,Jencycla,NORETHINDRONE,NORETHINDRONE,,no,no,,,train
802,GLYBURIDE,GLYBURIDE,GLYBURIDE,,sp,ambiguous,cardiovascular mortality with Sulfonylureas,,test
803,Estropipate,ESTROPIPATE,ESTROPIPATE,Heart Damage,bw,most,myocardial infarction,severe,train
804,Levocetirizine Dihydrochloride,LEVOCETIRIZINE DIHYDROCHLORIDE,LEVOCETIRIZINE DIHYDROCHLORIDE,Arrhythmia,ar,less,tachycardia,mild,train
805,colchicine,COLCHICINE,COLCHICINE,,no,no,,,test
806,PENTOXIFYLLINE,PENTOXIFYLLINE,PENTOXIFYLLINE,Mixed,ar,less,Angina/Arrhythmia,moderate,train
807,zaleplon,ZALEPLON,ZALEPLON,Mixed,ar,less,tachycardia/ angina pectoris,mild,test
808,METHSCOPOLAMINE BROMIDE,METHSCOPOLAMINE BROMIDE,METHSCOPOLAMINE BROMIDE,Arrhythmia,ar,less,tachycardia,mild,test
809,KETOCONAZOLE,KETOCONAZOLE,KETOCONAZOLE,Arrhythmia,bw,most,"life-threatening ventricular
dysrhythmias ",severe,train
810,CANDESARTAN CILEXETIL,CANDESARTAN CILEXETIL,CANDESARTAN CILEXETIL,Heart Damage,wp,less,symptomatic hypotension,mild,test
811,Esomeprazole magnesium,ESOMEPRAZOLE MAGNESIUM,ESOMEPRAZOLE MAGNESIUM,Mixed,ar,less,tachycardia/hypertension,mild,test
812,Quinidine Gluconate,QUINIDINE GLUCONATE,QUINIDINE GLUCONATE,Arrhythmia,ar,Less,arrhythmia,severe,test
813,Amoxapine,AMOXAPINE,AMOXAPINE,Mixed,ar,less,tachycardia/hypertension,mild,train
814,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,Mixed,ar,less,tachycardia/ Increased or decreased blood pressure,mild,train
815,Labetalol Hydrochloride,LABETALOL HYDROCHLORIDE,LABETALOL,Heart Damage,wp,most,Congestive heart failure,severe,test
816,Dofetilide,DOFETILIDE,DOFETILIDE,Arrhythmia,bw,most,arrhythmia,mild,train
817,Modafinil,MODAFINIL,MODAFINIL,,sp,ambiguous,Hypersensitivity Reactions:myocarditis,severe,train
818,Famciclovir,FAMCICLOVIR,FAMCICLOVIR,Arrhythmia,ar,less,Palpitations,mild,test
819,Albuterol,ALBUTEROL,Albuterol,Mixed,wp,most,prolongation of the QTc interval/hypertension,moderate,test
820,Ethambutol Hydrochloride,ETHAMBUTOL HYDROCHLORIDE,ETHAMBUTOL HYDROCHLORIDE,,sp,ambiguous,Hypersensitivity syndrome:myocarditis,severe,train
821,GEMFIBROZIL,GEMFIBROZIL,GEMFIBROZIL,Arrhythmia,ar,less,extrasystoles,mild,test
822,Melphalan,"MELPHALAN USP, 2 MG",MELPHALAN,Arrhythmia,ar,less,Cardiac arrest,severe,train
823,Diazepam,DIAZEPAM,DIAZEPAM,Heart Damage,ar,less,hypotension,mild,test
824,Bosentan,BOSENTAN,BOSENTAN,Mixed,ar,less ,Palpitations/Hypotension,mild,train
825,Moexipril Hydrochloride,MOEXIPRIL HYDROCHLORIDE,MOEXIPRIL HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild,test
826,Chlorthalidone,CHLORTHALIDONE,CHLORTHALIDONE,Heart Damage,ar,less,hypotension,mild,train
827,Fluvastatin,FLUVASTATIN,FLUVASTATIN SODIUM,Mixed,ar,less,Atrial fibrillation/Hypertension,mild,test
828,Probenecid,PROBENECID,PROBENECID,,no,no,,,test
829,Guanfacine,GUANFACINE,GUANFACINE HYDROCHLORIDE,Mixed,wp,less,decreases in blood pressure/heart rate,mild,test
830,almotriptan,ALMOTRIPTAN,almotriptan malate,Mixed,wp,most,acute myocardial infarction/cardiac rhythm,severe,train
831,Colesevelam,COLESEVELAM,COLESEVELAM HYDROCHLORIDE,,no,no,,,test
832,NIZATIDINE,NIZATIDINE,NIZATIDINE,Arrhythmia,ar,less,ventricular tachycardia ,moderate,test
833,TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE,TENOFOVIR DISOPROXIL FUMARATE,,no,no,,,test
834,Cartia XT,DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,Mixed,wp,most,third-degree AV block/hypotension,moderate,test
835,Felodipine,FELODIPINE,FELODIPINE,Heart Damage,wp,less,hypotension,mild,train
836,Risedronate Sodium,RISEDRONATE SODIUM,RISEDRONATE SODIUM,Arrhythmia,ar,less,Hypertension,mild,test
837,Cephalexin,CEPHALEXIN,CEPHALEXIN,,no,no,,,train
838,Diazoxide,DIAZOXIDE,DIAZOXIDE,Mixed,ar,less,Tachycardia//Chest pain,mild,train
839,Ritonavir,RITONAVIR,RITONAVIR,Mixed,wp,most,cardiomyopathy/third degree atrioventricular block,severe,test
840,Acetazolamide,ACETAZOLAMIDE,ACETAZOLAMIDE,,no,no,,,test
841,Lorazepam,LORAZEPAM,LORAZEPAM,,sp,ambiguous,"hypotension may occur but are usually not clinically
significant",mild,test
842,Lurasidone Hydrochloride,LURASIDONE HYDROCHLORIDE,LURASIDONE HYDROCHLORIDE,Heart Damage,wp,less,hypotension,mild,test
843,Dutasteride,DUTASTERIDE,DUTASTERIDE,Heart Damage,ar,less,cardiac failure ,severe,train
844,Exemestane,EXEMESTANE,Exemestane,Heart Damage,ar,less,"myocardial infarction, angina, and myocardial ischemia",severe,test
845,Fosinopril sodium,FOSINOPIRL SODIUM; FOSINOPRIL SODIUM,FOSINOPRIL SODIUM,Heart Damage,wp,less,hypotension,mild,train
846,Sodium Phenylbutyrate,SODIUM PHENYLBUTYRATE,SODIUM PHENYLBUTYRATE,Arrhythmia,ar,less,arrhythmia,mild,test
847,Hydrocodone Bitartrate,HYDROCODONE BITARTRATE,HYDROCODONE BITARTRATE,Mixed,wp,most,QTc Prolongation/Hypotension,moderate,test
848,ENTECAVIR,ENTECAVIR,ENTECAVIR ANHYDROUS,,no,no,,,test
849,cilostazol,CILOSTAZOL,CILOSTAZOL,Mixed,wp,most,tachyarrhythmia/ hypotension,moderate,test
850,OLANZAPINE,OLANZAPINE,OLANZAPINE,Mixed,wp,less,hypotension /tachycardia,mild,train
851,Disopyramide Phosphate,DISOPYRAMIDE PHOSPHATE,DISOPYRAMIDE PHOSPHATE,Mixed,wp,most,congestive heart failure/Q-T Prolongation,severe,train
852,Danazol,DANAZOL,DANAZOL,Mixed,wp,less,cardiac or renal dysfunction,mild,test
853,Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,BENAZEPRIL HYDROCHLORIDE,Heart Damage,wp,less,symptomatic hypotension,mild,train
854,doxycycline,DOXYCYCLINE,DOXYCYCLINE,,sp,ambiguous,Hypersensitivity Reactions:pericarditis,severe,test
855,Ergomar Sublingual,ERGOTAMINE TARTRATE,Ergotamine Tartrate,Mixed,ar,less,tachycardia/ischemia,mild,train
856,Azathioprine,AZATHIOPRINE,AZATHIOPRINE,,no,no,,,train
857,Chlorhexidine gluconate,CHLORHEXIDINE GLUCONATE,CHLORHEXIDINE GLUCONATE,,sp,ambiguous,allergic symptoms:rapid heart rate,mild,train
858,Carbidopa,CARBIDOPA,CARBIDOPA,Mixed,ar,less,myocardial infarction/palpitation,severe,test
859,montelukast sodium,MONTELUKAST SODIUM,MONTELUKAST,Arrhythmia,ar,less,palpitations,mild,test
860,Chlordiazepoxide Hydrochloride,CHLORDIAZEPOXIDE HYDROCHLORIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE,,no,no,,,test
861,Maraviroc,MARAVIROC,MARAVIROC,Heart Damage,wp,most,myocardial ischemia and/or infarction,severe,test
862,Imipramine Pamoate,IMIPRAMINE PAMOATE,IMIPRAMINE PAMOATE,Mixed,ar,less,tachycardia,mild,test
863,Flecainide Acetate,FLECAINIDE ACETATE,FLECAINIDE ACETATE,Mixed,bw,most,cardiac arrest/HEART FAILURE,severe,train
864,Amantadine HCl,AMANTADINE HYDROCHLORIDE,AMANTADINE HYDROCHLORIDE,Mixed,wp,less,tachycardia/hyper- or hypotension,mild,test
865,Ethacrynic acid,ETHACRYNIC ACID,ETHACRYNIC ACID,Heart Damage,wp,less,acute hypotensive episode,mild,train
866,eletriptan hydrobromide,ELETRIPTAN HYDROBROMIDE,ELETRIPTAN HYDROBROMIDE,Mixed,wp,most,acute myocardial infarction/ventricular tachycardia,severe,test
867,Hydroxyzine Pamoate,HYDROXYZINE PAMOATE,HYDROXYZINE PAMOATE,Arrhythmia,wp,most,QT prolongation ,moderate,train
868,Erythrocin Stearate,ERYTHROMYCIN STEARATE,ERYTHROMYCIN STEARATE,Arrhythmia,wp,most,QT prolongation ,moderate,train
869,ISOSORBIDE MONONITRATE,ISOSORBIDE MONONITRATE,ISOSORBIDE MONONITRATE,Heart Damage,wp,less,hypotension,mild,train
870,Nabumetone,NABUMETONE,NABUMETONE,Heart Damage,bw,most,myocardial infarction,severe,train
871,Sunitinib malate,SUNITINIB MALATE,SUNITINIB MALATE,Mixed,wp,most,cardiomyopathy/QT Interval Prolongation,severe,test
872,Cabergoline,CABERGOLINE,CABERGOLINE,Heart Damage,wp,most,cardiac valvulopathy,severe,train
873,RASAGILINE,RASAGILINE,RASAGILINE MESYLATE,Heart Damage,wp,less,hypertension,mild,test
874,ACITRETIN,ACITRETIN,ACITRETIN,Heart Damage,ar,less,Acute myocardial infarctio,severe,test
875,Oxybutynin Chloride,OXYBUTYNIN CHLORIDE,OXYBUTYNIN CHLORIDE,Mixed,wp,most,congestive heart failure/cardiac arrhythmias,severe,train
876,Risperidone,RISPERIDONE,RISPERIDONE,Arrhythmia,ar,less,sinus tachycardia,mild,train
877,Diclofenac Potassium,DICLOFENAC POTASSIUM,DICLOFENAC POTASSIUM,Heart Damage,bw,most,myocardial infarction,severe,train
878,Ramipril,RAMIPRIL,RAMIPRIL,Heart Damage,wp,less,hypotension,mild,train
879,PRYIDOSTIGMINE BROMIDE,PYRIDOSTIGMINE BROMIDE,PYRIDOSTIGMINE BROMIDE,,no,no,,,train
880,Solifenacin Succinate,SOLIFENACIN SUCCIATE; SOLIFENACIN SUCCINATE,SOLIFENACIN SUCCINATE,Arrhythmia,ar,less,QT prolongation,moderate,train
881,Omeprazole,OMEPRAZOLE,OMEPRAZOLE,Mixed,ar,less,angina/tachycardia,moderate,test
882,QUININE SULFATE,QUININE SULFATE,QUININE SULFATE,Arrhythmia,wp,most,QT prolongation,moderate,train
883,Didanosine,DIDANOSINE,DIDANOSINE,,sp,ambiguous,non-cirrhotic portal hypertension ,,test
884,Memantine Hydrochloride,MEMANTINE HYDROCHLORIDE,MEMANTINE HYDROCHLORIDE,Heart Damage,ar,less,cardiac failure congestive,severe,test
885,Pioglitazone,PIOGLITAZONE,PIOGLITAZONE HYDROCHLORIDE,Heart Damage,bw,most,congestive heart failure,severe,train
886,Zenzedi,DEXTROAMPHETAMINE SULFATE,Dextroamphetamine Sulfate,Heart Damage,bw,most,SUDDEN DEATH/myocardial infarction,severe,test
887,Nebivolol,NEBIVOLOL,NEBIVOLOL HYDROCHLORIDE,Arrhythmia,ar,less,bradycardia,mild,train
888,voriconazole,VORICONAZOLE,VORICONAZOLE,Arrhythmia,wp,most,QT Prolongation &Torsade de Pointes,severe,test
889,Rimantadine Hydrochloride,RIMANTADINE HYDROCHLORIDE,RIMANTADINE HYDROCHLORIDE,Mixed,ar,less,cardiac failure/tachycardia,severe,train
