Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),SPL Effective Date (Month/Day/Year),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed SPL Link,DailyMed PDF Link,SET ID,Query Link for Entire Search Output,Result Link for Entire Search Output,Export Date (YYYY/MM/DD) and Time for Entire Search Output
HUMAN PRESCRIPTION DRUG LABEL,KIT,ORAL,NDA,215239,AGAMREE,VAMOROLONE,2024/01/05,Corticosteroid,2023,CATALYST PHARMACEUTICALS INC,2024/02/01-,69616-264,8XP29XMB43,VAMOROLONE,VAMOROLONE,8XP29XMB43,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/fb376f09-cf9c-42b5-b4dd-02d5bcd73211/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fb376f09-cf9c-42b5-b4dd-02d5bcd73211,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=fb376f09-cf9c-42b5-b4dd-02d5bcd73211,fb376f09-cf9c-42b5-b4dd-02d5bcd73211,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAVENOUS,NDA,211962,Vancomycin,VANCOMYCIN,2023/03/23,Glycopeptide Antibacterial,1958,XELLIA PHARMACEUTICALS USA LLC,2019/02/15-; 2019/02/23-; 2020/05/13-,70594-041; 70594-042; 70594-043; 70594-044; 70594-056; 70594-057; 70594-058,6Q205EH1VU,VANCOMYCIN,VANCOMYCIN,6Q205EH1VU,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/60bee69b-be70-412c-9e83-a24a0a8a5e7b/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=60bee69b-be70-412c-9e83-a24a0a8a5e7b,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=60bee69b-be70-412c-9e83-a24a0a8a5e7b,60bee69b-be70-412c-9e83-a24a0a8a5e7b,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAVENOUS,NDA,213895,Vancomycin,VANCOMYCIN,2021/09/10,Glycopeptide Antibacterial,1958,XELLIA PHARMACEUTICALS USA LLC,2021/08/26-,70594-040,6Q205EH1VU,VANCOMYCIN,VANCOMYCIN,6Q205EH1VU,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/5105259a-c16e-4875-a920-50fefc92b822/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5105259a-c16e-4875-a920-50fefc92b822,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=5105259a-c16e-4875-a920-50fefc92b822,5105259a-c16e-4875-a920-50fefc92b822,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAVENOUS; INTRAVITREAL,NDA,050671,VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN HYDROCHLORIDE,2024/01/25,Glycopeptide Antibacterial,,BAXTER HEALTHCARE CORPORATION,1958/11/14-,0338-0122; 0338-0124; 0338-3551; 0338-3552; 0338-3580; 0338-3581; 0338-3582; 0338-3583,71WO621TJD,VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN,6Q205EH1VU,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/99e523d8-9bde-43cb-8434-497015e5dcbd/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=99e523d8-9bde-43cb-8434-497015e5dcbd,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=99e523d8-9bde-43cb-8434-497015e5dcbd,99e523d8-9bde-43cb-8434-497015e5dcbd,,,
HUMAN PRESCRIPTION DRUG LABEL,KIT,ORAL,NDA,208910,FIRVANQ,VANCOMYCIN HYDROCHLORIDE,2023/12/08,Glycopeptide Antibacterial,1964,AZURITY PHARMACEUTICALS INC,2018/01/26-,65628-204; 65628-205; 65628-206; 65628-208,71WO621TJD,VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN,6Q205EH1VU,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/5aca5508-b577-446c-9980-ab4c7582b4b9/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5aca5508-b577-446c-9980-ab4c7582b4b9,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=5aca5508-b577-446c-9980-ab4c7582b4b9,5aca5508-b577-446c-9980-ab4c7582b4b9,,,
HUMAN PRESCRIPTION DRUG LABEL,KIT,ORAL,NDA,208910,FIRVANQ,VANCOMYCIN HYDROCHLORIDE,2023/12/08,Glycopeptide Antibacterial,1964,AZURITY PHARMACEUTICALS INC,2020/02/14-,65628-015; 65628-016,71WO621TJD,VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN,6Q205EH1VU,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/984208d5-395b-0c59-e053-2995a90a4f42/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=984208d5-395b-0c59-e053-2995a90a4f42,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=984208d5-395b-0c59-e053-2995a90a4f42,984208d5-395b-0c59-e053-2995a90a4f42,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, POWDER, FOR SOLUTION",INTRAVENOUS; ORAL,NDA,210274,VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN HYDROCHLORIDE,2023/04/19,Glycopeptide Antibacterial,1958,HIKMA PHARMACEUTICALS USA INC,2023/02/02-,0143-9161; 0143-9162,71WO621TJD,VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN,6Q205EH1VU,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/8eccafe8-40c9-495a-872d-7f45a98ee759/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=8eccafe8-40c9-495a-872d-7f45a98ee759,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=8eccafe8-40c9-495a-872d-7f45a98ee759,8eccafe8-40c9-495a-872d-7f45a98ee759,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, POWDER, FOR SOLUTION",INTRAVENOUS; ORAL,NDA,210274,VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN HYDROCHLORIDE,2023/04/12,Glycopeptide Antibacterial,1958,HIKMA PHARMACEUTICALS USA INC,2023/02/02-; 2023/02/03-,0143-9163; 0143-9164,71WO621TJD,VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN,6Q205EH1VU,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/e4ce7b87-fab4-4b7a-b121-eba136c464ce/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e4ce7b87-fab4-4b7a-b121-eba136c464ce,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e4ce7b87-fab4-4b7a-b121-eba136c464ce,e4ce7b87-fab4-4b7a-b121-eba136c464ce,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA,209481,Vancomycin Hydrochloride,VANCOMYCIN HYDROCHLORIDE,2022/03/02,Glycopeptide Antibacterial,1958,MYLAN INSTITUTIONAL LLC,2018/08/31-; 2018/12/06-; completed:2018/08/31-2022/02/28,67457-705; 67457-822; 67457-823; 67457-824,71WO621TJD,VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN,6Q205EH1VU,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/caf22ccb-df75-45ea-a1d0-ccb2d37272fb/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=caf22ccb-df75-45ea-a1d0-ccb2d37272fb,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=caf22ccb-df75-45ea-a1d0-ccb2d37272fb,caf22ccb-df75-45ea-a1d0-ccb2d37272fb,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,NDA,050606,Vancocin,VANCOMYCIN HYDROCHLORIDE,2022/01/04,Glycopeptide Antibacterial,1986,ANI PHARMACEUTICALS INC,2014/11/17-,62559-310; 62559-311,71WO621TJD,VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN,6Q205EH1VU,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/a078d9c2-f89c-4f9f-8ded-60ffb2983c3f/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a078d9c2-f89c-4f9f-8ded-60ffb2983c3f,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a078d9c2-f89c-4f9f-8ded-60ffb2983c3f,a078d9c2-f89c-4f9f-8ded-60ffb2983c3f,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,022405,CAPRELSA,VANDETANIB,2024/04/19,Kinase Inhibitor,2011,GENZYME CORPORATION,2011/07/25-,58468-7820; 58468-7840,YO460OQ37K,VANDETANIB,VANDETANIB,YO460OQ37K,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/e5721cb8-4185-47b9-bbb3-1c587e558a03/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e5721cb8-4185-47b9-bbb3-1c587e558a03,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e5721cb8-4185-47b9-bbb3-1c587e558a03,e5721cb8-4185-47b9-bbb3-1c587e558a03,,,
HUMAN PRESCRIPTION DRUG LABEL,SPRAY,NASAL,NDA,213978,Tyrvaya,VARENICLINE,2024/02/08,Cholinergic Receptor Agonist; Partial Cholinergic Nicotinic Agonist,2006,OYSTER POINT PHARMA,2021/10/20-,73521-030,82269ASB48,VARENICLINE TARTRATE,VARENICLINE,W6HS99O8ZO,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/014c93dc-5737-479c-a9f0-aaadac1ac298/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=014c93dc-5737-479c-a9f0-aaadac1ac298,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=014c93dc-5737-479c-a9f0-aaadac1ac298,014c93dc-5737-479c-a9f0-aaadac1ac298,,,
HUMAN PRESCRIPTION DRUG LABEL,"KIT; TABLET, FILM COATED",ORAL,NDA,021928,CHANTIX,VARENICLINE TARTRATE,2024/04/23,Cholinergic Receptor Agonist; Partial Cholinergic Nicotinic Agonist,2006,PFIZER LABORATORIES DIV PFIZER INC,2006/05/10-,0069-0468; 0069-0469; 0069-0471,82269ASB48,VARENICLINE TARTRATE,VARENICLINE,W6HS99O8ZO,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/f0ff4f27-5185-4881-a749-c6b7a0ca5696/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f0ff4f27-5185-4881-a749-c6b7a0ca5696,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f0ff4f27-5185-4881-a749-c6b7a0ca5696,f0ff4f27-5185-4881-a749-c6b7a0ca5696,,,
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAVENOUS,NDA,204485,Vasostrict,VASOPRESSIN,2023/02/27,,2014,ENDO USA INC,2014/11/12-; 2017/02/27-; 2021/12/15-; completed:2021/12/15-2021/12/15; completed:2023/12/01-2023/12/01,42023-164; 42023-190; 42023-219; 42023-220; 42023-237; 42023-268,Y87Y826H08,"VASOPRESSIN, UNSPECIFIED","VASOPRESSIN, UNSPECIFIED",Y87Y826H08,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/b1147beb-743e-4c62-8927-91192447f8b8/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b1147beb-743e-4c62-8927-91192447f8b8,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=b1147beb-743e-4c62-8927-91192447f8b8,b1147beb-743e-4c62-8927-91192447f8b8,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, SOLUTION",INTRAVENOUS,NDA,212593,Vasopressin,VASOPRESSIN,2023/01/01,,2014,AMERICAN REGENT INC,2022/02/03-; 2023/06/21-,0517-1020; 0517-1030,Y4907O6MFD,VASOPRESSIN,VASOPRESSIN,Y4907O6MFD,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/0ab267f4-9ec9-44fd-8521-f975074667d9/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0ab267f4-9ec9-44fd-8521-f975074667d9,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=0ab267f4-9ec9-44fd-8521-f975074667d9,0ab267f4-9ec9-44fd-8521-f975074667d9,,,
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAVENOUS,NDA,204485,Vasopressin,VASOPRESSIN,2022/02/08,,2014,DR REDDYS LABORATORIES INC,2014/11/12-,43598-085,Y87Y826H08,"VASOPRESSIN, UNSPECIFIED","VASOPRESSIN, UNSPECIFIED",Y87Y826H08,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/3cecafe6-94b8-452d-8f4c-d2559d79fe98/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3cecafe6-94b8-452d-8f4c-d2559d79fe98,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=3cecafe6-94b8-452d-8f4c-d2559d79fe98,3cecafe6-94b8-452d-8f4c-d2559d79fe98,,,
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAVENOUS,NDA,204485,Vasostrict,VASOPRESSIN,2021/11/30,,2014,PAR PHARMACEUTICAL INC,2022/12/05-,42023-164,Y87Y826H08,"VASOPRESSIN, UNSPECIFIED","VASOPRESSIN, UNSPECIFIED",Y87Y826H08,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/b97e5c3e-ca28-4ffa-80af-6c5bdbadaf10/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b97e5c3e-ca28-4ffa-80af-6c5bdbadaf10,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=b97e5c3e-ca28-4ffa-80af-6c5bdbadaf10,b97e5c3e-ca28-4ffa-80af-6c5bdbadaf10,,,
HUMAN PRESCRIPTION DRUG LABEL,INJECTION,INTRAVENOUS,NDA,217569,Vasopressin in 0.9% Sodium Chloride,VASOPRESSIN IN 0.9% SODIUM CHLORIDE,2024/02/05,,2014,BAXTER HEALTHCARE CORPORATION,2023/09/29-,0338-9640; 0338-9647,Y4907O6MFD,VASOPRESSIN,VASOPRESSIN,Y4907O6MFD,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/b5b2c367-6b7e-40be-a296-c4632f3e783f/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b5b2c367-6b7e-40be-a296-c4632f3e783f,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=b5b2c367-6b7e-40be-a296-c4632f3e783f,b5b2c367-6b7e-40be-a296-c4632f3e783f,,,
HUMAN PRESCRIPTION DRUG LABEL,"PELLET; TABLET, FILM COATED",ORAL,NDA,208341;214187,Epclusa,VELPATASVIR AND SOFOSBUVIR,2022/05/02,Hepatitis C Virus NS5A Inhibitor; Hepatitis C Virus Nucleotide Analog NS5B Polymerase Inhibitor,2016,GILEAD SCIENCES INC,2016/06/28-; 2020/03/19-; 2021/06/10-,61958-2201; 61958-2203; 61958-2204; 61958-2205,KCU0C7RS7Z; WJ6CA3ZU8B,SOFOSBUVIR; VELPATASVIR,SOFOSBUVIR; VELPATASVIR,KCU0C7RS7Z; WJ6CA3ZU8B,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/7f30631a-ee3b-4cfe-866b-964df3f0a44f/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=7f30631a-ee3b-4cfe-866b-964df3f0a44f,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=7f30631a-ee3b-4cfe-866b-964df3f0a44f,7f30631a-ee3b-4cfe-866b-964df3f0a44f,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,202429,ZELBORAF,VEMURAFENIB,2023/11/27,Kinase Inhibitor,2011,GENENTECH INC,2011/08/17-,50242-090,207SMY3FQT,VEMURAFENIB,VEMURAFENIB,207SMY3FQT,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/38eea320-7e0c-485a-bc30-98c3c45e2763/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=38eea320-7e0c-485a-bc30-98c3c45e2763,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=38eea320-7e0c-485a-bc30-98c3c45e2763,38eea320-7e0c-485a-bc30-98c3c45e2763,,,
HUMAN PRESCRIPTION DRUG LABEL,"KIT; TABLET, FILM COATED",ORAL,NDA,208573,Venclexta,VENETOCLAX,2022/06/15,BCL-2 Inhibitor,2016,ABBVIE INC,2016/04/11-,0074-0561; 0074-0566; 0074-0576; 0074-0579,N54AIC43PW,Venetoclax,Venetoclax,N54AIC43PW,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/b118a40d-6b56-cee3-10f6-ded821a97018/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b118a40d-6b56-cee3-10f6-ded821a97018,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=b118a40d-6b56-cee3-10f6-ded821a97018,b118a40d-6b56-cee3-10f6-ded821a97018,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, EXTENDED RELEASE",ORAL,NDA,215429,venlafaxine,VENLAFAXINE,2023/08/24,Serotonin and Norepinephrine Reuptake Inhibitor,1993,ALMATICA PHARMA LLC,2022/06/30-,52427-632,18XP3YT5NH,VENLAFAXINE BESYLATE MONOHYDRATE,VENLAFAXINE,GRZ5RCB1QG,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/e81a2daf-b8b2-7c05-b532-bc775700b100/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e81a2daf-b8b2-7c05-b532-bc775700b100,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=e81a2daf-b8b2-7c05-b532-bc775700b100,e81a2daf-b8b2-7c05-b532-bc775700b100,,,
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,NDA,020699,Effexor XR,VENLAFAXINE HYDROCHLORIDE,2023/08/15,Serotonin and Norepinephrine Reuptake Inhibitor,1997,VIATRIS SPECIALTY LLC,2023/10/10-,58151-125; 58151-126; 58151-127,7D7RX5A8MO,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE,GRZ5RCB1QG,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/c848a5d8-ba94-4c84-80e3-0bf35fb8e32e/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c848a5d8-ba94-4c84-80e3-0bf35fb8e32e,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=c848a5d8-ba94-4c84-80e3-0bf35fb8e32e,c848a5d8-ba94-4c84-80e3-0bf35fb8e32e,,,
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,NDA,020699,Effexor XR,VENLAFAXINE HYDROCHLORIDE,2022/08/29,Serotonin and Norepinephrine Reuptake Inhibitor,1997,WYETH PHARMACEUTICALS LLC A SUBSIDIARY OF PFIZER INC,1997/11/01-,0008-0833; 0008-0836; 0008-0837,7D7RX5A8MO,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE,GRZ5RCB1QG,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/53c3e7ac-1852-4d70-d2b6-4fca819acf26/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=53c3e7ac-1852-4d70-d2b6-4fca819acf26,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=53c3e7ac-1852-4d70-d2b6-4fca819acf26,53c3e7ac-1852-4d70-d2b6-4fca819acf26,,,
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,NDA,020943,Verapamil Hydrochloride,VERAPAMIL HYDROCHLORIDE,2023/03/31,Calcium Channel Blocker,1998,CHARTWELL RX LLC,1998/11/25-,62135-532,V3888OEY5R,VERAPAMIL HYDROCHLORIDE,VERAPAMIL,CJ0O37KU29,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/18f6d349-8c5c-4443-ac65-16bf6619ecdc/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=18f6d349-8c5c-4443-ac65-16bf6619ecdc,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=18f6d349-8c5c-4443-ac65-16bf6619ecdc,18f6d349-8c5c-4443-ac65-16bf6619ecdc,,,
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, DELAYED RELEASE PELLETS",ORAL,NDA,019614,VERELAN,VERAPAMIL HYDROCHLORIDE,2023/02/22,Calcium Channel Blocker,,LANNETT COMPANY INC,1990/05/29-,62175-580; 62175-581; 62175-582; 62175-583,V3888OEY5R,VERAPAMIL HYDROCHLORIDE,VERAPAMIL,CJ0O37KU29,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/92f7adf1-cb8c-4c6e-95d1-9afd28fe5116/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=92f7adf1-cb8c-4c6e-95d1-9afd28fe5116,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=92f7adf1-cb8c-4c6e-95d1-9afd28fe5116,92f7adf1-cb8c-4c6e-95d1-9afd28fe5116,,,
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,NDA,020943,Verapamil Hydrochloride,VERAPAMIL HYDROCHLORIDE,2022/12/27,Calcium Channel Blocker,1998,LANNETT COMPANY INC,1998/11/25-,62175-485; 62175-486; 62175-487,V3888OEY5R,VERAPAMIL HYDROCHLORIDE,VERAPAMIL,CJ0O37KU29,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/f3b3580a-4e6b-402f-bf88-f3157d9139b1/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f3b3580a-4e6b-402f-bf88-f3157d9139b1,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=f3b3580a-4e6b-402f-bf88-f3157d9139b1,f3b3580a-4e6b-402f-bf88-f3157d9139b1,,,
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, DELAYED RELEASE PELLETS",ORAL,NDA,019614,Verapamil Hydrochloride,VERAPAMIL HYDROCHLORIDE,2022/10/17,Calcium Channel Blocker,,TEVA PHARMACEUTICALS INC,1990/05/29-,0591-2880; 0591-2882; 0591-2884; 0591-2886,V3888OEY5R,VERAPAMIL HYDROCHLORIDE,VERAPAMIL,CJ0O37KU29,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/0742cf97-601b-4c13-a6c3-1a6a616ed292/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0742cf97-601b-4c13-a6c3-1a6a616ed292,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=0742cf97-601b-4c13-a6c3-1a6a616ed292,0742cf97-601b-4c13-a6c3-1a6a616ed292,,,
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, EXTENDED RELEASE",ORAL,NDA,020943,VERELAN PM,VERAPAMIL HYDROCHLORIDE,2022/07/01,Calcium Channel Blocker,1998,LANNETT COMPANY INC,1998/11/25-,62175-570; 62175-571; 62175-572,V3888OEY5R,VERAPAMIL HYDROCHLORIDE,VERAPAMIL,CJ0O37KU29,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/fd1b433f-1895-4af0-9d1f-3901c6d34c20/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fd1b433f-1895-4af0-9d1f-3901c6d34c20,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=fd1b433f-1895-4af0-9d1f-3901c6d34c20,fd1b433f-1895-4af0-9d1f-3901c6d34c20,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,214377,VERQUVO,VERICIGUAT,2023/10/26,Soluble Guanylate Cyclase Stimulator,2021,MERCK SHARP AND DOHME LLC,2021/02/01-,0006-5028; 0006-5029; 0006-5030,LV66ADM269,VERICIGUAT,VERICIGUAT,LV66ADM269,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/17056d73-1b1b-4bf2-9c07-b7a9367f0d6d/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=17056d73-1b1b-4bf2-9c07-b7a9367f0d6d,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=17056d73-1b1b-4bf2-9c07-b7a9367f0d6d,17056d73-1b1b-4bf2-9c07-b7a9367f0d6d,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA,021119,Visudyne,VERTEPORFIN FOR INJECTION,2023/02/24,Photoenhancer,2000,BAUSCH AND LOMB INCORPORATED,2000/04/12-,24208-560,0X9PA28K43,VERTEPORFIN,VERTEPORFIN,0X9PA28K43,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/2f0a34ce-3c57-4ac8-b28e-512be807272f/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=2f0a34ce-3c57-4ac8-b28e-512be807272f,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=2f0a34ce-3c57-4ac8-b28e-512be807272f,2f0a34ce-3c57-4ac8-b28e-512be807272f,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA,021119,Visudyne,VERTEPORFIN FOR INJECTION,2021/07/21,Photoenhancer,2000,BAUSCH HEALTH US LLC,2000/04/12-,0187-5600,0X9PA28K43,VERTEPORFIN,VERTEPORFIN,0X9PA28K43,https://fdalabel.fda.gov:8443/fdalabel/services/spl/set-ids/952f4c80-50b1-4308-9ee6-311ffefb13df/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=952f4c80-50b1-4308-9ee6-311ffefb13df,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=952f4c80-50b1-4308-9ee6-311ffefb13df,952f4c80-50b1-4308-9ee6-311ffefb13df,,,
